Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
413;Metroid: Other M;http://ps3media.ign.com/ps3/image/object/143/14354733/metroid_otherm_esrbtboxart_160h.jpg;Action;Wii;Nintendo;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess
414;Tom Clancy's The Division;http://assets1.ignimgs.com/2013/06/13/tom-clancys-the-divisiongeneraljpg-50eafd_160h.jpg;Shooter;PC Xbox One PS4;Ubisoft;Far Cry 4;Wolfenstein: The New Order;Call of Duty: Black Ops II;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
415;Borderlands 2;http://wirelessmedia.ign.com/wireless/image/object/094/094189/borderlands2ps3mboxart_160h.jpg;Shooter;PS3 Xbox 360 Mac PC;2K;Call of Duty: Black Ops II;Dust 514;Sniper Elite III;The Witch and the Hundred Knight;Borderlands: The Pre-Sequel;Bound by Flame;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster
416;The Legend of Zelda: Twilight Princess;http://dsmedia.ign.com/ds/image/object/572/572738/Zelda-Twilight-Princess_Cube_US_ESRBboxart_160h.jpg;Action;GCN Wii NDS;Nintendo;The Legend of Zelda: The Wind Waker;Resident Evil 4;Metroid Prime;The Legend of Zelda: The Wind Waker;Resident Evil 4;Metroid Prime;The Legend of Zelda: The Wind Waker;Super Smash Bros. Melee;Super Mario Sunshine
417;Road Not Taken;http://assets1.ignimgs.com/2013/10/16/road-not-taken-generaljpg-884521_160h.jpg;Puzzle;PC iPhone PS4 Mac;SpryFox;Valiant Hearts: The Great War;The Witness;Never Alone;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
418;Call of Duty: Black Ops II;http://ps3media.ign.com/ps3/image/object/126/126311/CallofDutyBlackOpsIIXbox360boxart_160h.jpg;Shooter;Xbox 360 PC Wii U PS3;Activision;Borderlands 2;Halo 4;Gears of War: Judgment;Watch Dogs;Diablo III;Borderlands 2;;;
419;The Legend of Zelda: Twilight Princess Preview Trailer;http://dsmedia.ign.com/ds/image/object/748/748615/zeldatwilightdspreview_boxboxart_160h.jpg;Video;NDS GCN Wii;Nintendo;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;;;;
420;Road Not Taken;http://assets1.ignimgs.com/2013/10/16/road-not-taken-generaljpg-884521_160h.jpg;Puzzle;iPhone PC PS4 Mac;SpryFox;Angry Birds Space;Angry Birds;Puzzle Craft;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
421;Persona 4 Golden;http://ps3media.ign.com/ps3/image/object/116/116892/P4GPromoRated_lowboxart_160h.jpg;RPG;Vita PS2 PS3;Atlus;Child of Light;Ragnarok Odyssey;New Little King's Story;Borderlands 2;Tearaway;Ys: Memories of Celceta;;;
422;StarCraft II: Heart of the Swarm;http://assets1.ignimgs.com/2013/12/13/starcraft-2-heart-of-the-swarm-us-pcmacjpg-885eb1_160h.jpg;Strategy;Mac PC;Blizzard;Total War: Shogun 2;Sid Meier's Civilization V: Gods & Kings;Plague Inc. Evolved;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
423;Road Not Taken;http://assets1.ignimgs.com/2013/10/16/road-not-taken-generaljpg-884521_160h.jpg;Puzzle;Mac PC iPhone PS4;SpryFox;Lemmings;Oh No! More Lemmings;Lode Runner;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
424;Company of Heroes 2;http://media.ign.com/games/image/object/133/133759/Company-of-Heroes-2_PC_RPboxart_160h.jpg;Strategy;PC;SEGA;StarCraft II: Heart of the Swarm;Total War: Rome II;XCOM: Enemy Unknown;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
425;New Little King's Story;http://media.ign.com/games/image/object/116/116369/New-Little-King-Story_PSV-Gameboxart_160h.jpg;RPG;Vita;Konami;Child of Light;Ragnarok Odyssey;Persona 4 Golden;Borderlands 2;Tearaway;Ys: Memories of Celceta;;;
426;Mario & Luigi: Bowser's Inside Story;http://media.ign.com/games/image/object/142/14286429/Mario-Luigi-Bowsers-Inside-Story_NDS_US_ESRBboxart_160h.jpg;Action;NDS;Nintendo;The Legend of Zelda: Phantom Hourglass;The Legend of Zelda: Spirit Tracks;Kingdom Hearts 358/2 Days;Pokemon Conquest;Kingdom Hearts 358/2 Days;Kingdom Hearts: Re:coded;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2
427;The Witness;http://media.ign.com/games/image/object/023/023509/The-Witness_PCDLboxart_160h.jpg;Puzzle;PC PS4 iPad;TBA;Valiant Hearts: The Great War;Never Alone;Quantum Conundrum;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
428;Divekick;http://assets1.ignimgs.com/2014/03/21/divekick-xonejpg-0a5725_160h.jpg;Fighting;Xbox One PC PS3 Vita;Iron;Killer Instinct;EA Sports UFC;Halo 5: Guardians;Titanfall;Killer Instinct;;;;
429;Kirby's Dream Land 2;http://pocketmedia.ign.com/pocket/image/object/008/008024/603712boxart_160h.jpg;Platformer;3DS GB Wii;Nintendo;New Super Mario Bros. 2;Luigi's Mansion: Dark Moon;Super Mario 3D Land;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
430;Dying Light;http://assets1.ignimgs.com/2014/05/12/dying-light-button-smjpg-a2a48c_160h.jpg;Action;Xbox 360 PS3 PS4 Xbox One;Warner;Watch Dogs;Diablo III;Assassin's Creed III;Watch Dogs;Diablo III;Borderlands 2;;;
431;Never Alone;http://assets1.ignimgs.com/2014/05/08/never-alone-button-02jpg-a2a2be_160h.jpg;Puzzle;PC Xbox One PS4;Upper;Valiant Hearts: The Great War;The Witness;Quantum Conundrum;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
432;RBI Baseball 14;http://assets2.ignimgs.com/2014/04/15/rbi-baseball-2014-button-02jpg-f16ced_160h.jpg;Baseball;Xbox 360 PS4 iPhone PS3 Xbox One;TBA;Watch Dogs;Diablo III;Borderlands 2;;;;;;
433;Dying Light;http://assets1.ignimgs.com/2014/05/12/dying-light-button-smjpg-a2a48c_160h.jpg;Action;PS3 Xbox 360 PS4 Xbox One;Warner;Grand Theft Auto V;Middle-earth: Shadow of Mordor;The Witch and the Hundred Knight;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
434;Kirby's Dream Land 2;http://pocketmedia.ign.com/pocket/image/object/008/008024/603712boxart_160h.jpg;Platformer;GB 3DS Wii;Nintendo;Super Mario Land 2;Wario Land: Super Mario Land 3;Kirby's Dream Land;Pokemon Blue Version;Pokemon Red Version;Pokemon Yellow: Special Pikachu Edition;;;
435;Quantum Conundrum;http://ps3media.ign.com/ps3/image/object/116/116554/Quantum-Conundrum_PCDL_v0boxart_160h.jpg;Puzzle;PC PS3 Xbox 360;Square;Valiant Hearts: The Great War;The Witness;Never Alone;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
436;Injustice: Gods Among Us -- Ultimate Edition;http://assets2.ignimgs.com/2013/10/11/injustice-ultimate-buttonjpg-884169_160h.jpg;Fighting;PC Xbox 360 PS3 Vita;Warner;Mortal Kombat;Naruto Shippuden: Ultimate Ninja Storm 3 -- Full Burst;Double Dragon: Neon;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
437;Dying Light;http://assets2.ignimgs.com/2013/06/14/dyinglightxboxtemporaryjpg-50e41c1jpg-50ecbe_160h.jpg;Action;PS4 Xbox 360 PS3 Xbox One;Warner;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
438;Injustice: Gods Among Us -- Ultimate Edition;http://assets2.ignimgs.com/2013/10/11/injustice-ultimate-buttonjpg-884169_160h.jpg;Fighting;Xbox 360 PC PS3 Vita;Warner;Dead or Alive 5;Injustice: Gods Among Us;Tekken Tag Tournament 2;Watch Dogs;Diablo III;Borderlands 2;;;
439;Super Mario Galaxy;http://wiimedia.ign.com/wii/image/object/748/748588/MarioGalaxyFinalBoxboxart_160h.jpg;Platformer;Wii;Nintendo;Kirby's Dream Collection: Special Edition;Super Mario Galaxy 2;New Super Mario Bros. Wii;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
440;Sniper Elite III;http://assets1.ignimgs.com/2014/03/06/sniper-elite-3-us-rp-x360jpg-df1198_160h.jpg;Shooter;Xbox 360 Xbox One PS3 PC;505;Borderlands 2;Halo 4;Gears of War: Judgment;Watch Dogs;Diablo III;Borderlands 2;;;
441;Assassin's Creed IV: Black Flag;http://assets1.ignimgs.com/2013/10/04/acbfwiiubxshtjpg-e95236_160h.jpg;Action;Wii U PS4 PC PS3 Xbox One;Ubisoft;Batman: Arkham Origins;Watch Dogs;The Amazing Spider-Man 2;Assassin's Creed III;Oddworld: Stranger's Wrath HD;Skylanders Trap Team;Mario Kart 8;Super Mario 3D World;Batman: Arkham Origins
442;Catan HD;;Board;iPad PS iPhone PS2 Xbox 360 NNG;United;Ticket to Ride;BoardBox HD;PartyPad: Marble Mixer;The Witness;Magic 2015 -- Duels of the Planewalkers;The Walking Dead: A Telltale Game Series -- Season One;;;
443;Injustice: Gods Among Us -- Ultimate Edition;http://assets2.ignimgs.com/2013/10/11/injustice-ultimate-buttonjpg-884169_160h.jpg;Fighting;PS3 PC Xbox 360 Vita;Warner;PlayStation All-Stars Battle Royale;Dragon Ball Z: Battle of Z;Tekken Tag Tournament 2;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
444;Catan: Die Erste Insel;http://media.gamestats.com/gg/image/object/723/723155/catan1_psxboxboxart_160h.jpg;Board;PS iPad iPhone PS2 Xbox 360 NNG;Ravensburger;The Reversi;The Shogi;Hikaru no Go 2;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
445;Madden NFL 15;http://assets1.ignimgs.com/2014/04/28/madden-nfl-15-buttonjpg-a29d06_160h.jpg;Sports;Xbox 360 Xbox One PS3 PS4;Electronic;Madden NFL 13;2014 FIFA World Cup Brazil;FIFA Soccer 13;Watch Dogs;Diablo III;Borderlands 2;;;
446;Assassin's Creed IV: Black Flag;http://assets1.ignimgs.com/2013/10/04/acbfpcbxshtjpg-883e9d_160h.jpg;Action;PC PS4 Wii U Xbox One Xbox 360;Ubisoft;Dark Souls II;Alien: Isolation;Assassin's Creed III;Thief;Assassin's Creed III;Resident Evil 6;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
447;Banjo-Kazooie;http://xbox360media.ign.com/xbox360/image/object/142/14265992/XBL_Banjo-Kazooieboxart_160h.jpg;Platformer;Xbox 360 N64;Microsoft;Dust: An Elysian Tail;Spelunky;Fez;Watch Dogs;Diablo III;Borderlands 2;;;
448;Catan;;Board;PS2 iPad PS iPhone Xbox 360 NNG;Capcom;Yu-Gi-Oh! Capsule Monster Coliseum;Risk: Global Domination;New Game of Life;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
449;Renegade;;Fighting;NES PS4 C64 CPC ZX Arcade 3DS Wii SMS Wii U;Taito;Double Dragon III: The Sacred Stones;Teenage Mutant Ninja Turtles: Tournament Fighters;Yie Ar Kung Fu;A Boy and His Blob: Trouble on Blobolonia;Qix;Double Dragon III: The Sacred Stones;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.
450;Assassin's Creed IV: Black Flag;http://assets2.ignimgs.com/2013/10/04/acbfx1bxshtjpg-e95234_160h.jpg;Action;Xbox One PS4 Wii U PC Xbox 360;Ubisoft;Destiny;Assassin's Creed Unity;Watch Dogs;Assassin's Creed Unity;Middle-earth: Shadow of Mordor;Valiant Hearts: The Great War;Halo 5: Guardians;Titanfall;Killer Instinct
451;NHL 15;http://assets2.ignimgs.com/2014/05/07/ea-sports-nhl-15-buttonjpg-a2a162_160h.jpg;Sports;PS3 Xbox 360 Xbox One PS4;Electronic;Madden NFL 13;FIFA Soccer 13;NBA 2K13;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
452;Renegade;http://codesmedia.ign.com/codes/image/object/855/855524/610702boxart_160h.jpg;Action;C64 NES PS4 CPC ZX Arcade 3DS Wii SMS Wii U;Taito;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
453;Catan;http://xbox360media.ign.com/xbox360/image/object/850/850004/XBL_Catanboxart_160h.jpg;Strategy;Xbox 360 iPad PS iPhone PS3 NNG;Microsoft;XCOM: Enemy Unknown;Halo Wars;Ascend: Hand of Kul;Watch Dogs;Diablo III;Borderlands 2;;;
454;NHL 15;http://assets2.ignimgs.com/2014/05/07/ea-sports-nhl-15-buttonjpg-a2a162_160h.jpg;Sports;Xbox 360 PS3 Xbox One PS4;Electronic;Madden NFL 13;2014 FIFA World Cup Brazil;FIFA Soccer 13;Watch Dogs;Diablo III;Borderlands 2;;;
455;Renegade;;Action;CPC PS4 NES C64 ZX Arcade 3DS Wii SMS Wii U;Imagine;Death Stalker;1942;Metro-Cross;The Vindicator;Death Stalker;1942;;;
456;Assassin's Creed IV: Black Flag;http://assets1.ignimgs.com/2013/10/04/acbfx360jpg-e95235_160h.jpg;Action;Xbox 360 PS4 Wii U PC Xbox One;Ubisoft;Watch Dogs;Diablo III;Assassin's Creed III;Assassin's Creed III;Resident Evil 6;Valiant Hearts: The Great War;Watch Dogs;Diablo III;Borderlands 2
457;The Legend of Zelda: Ocarina of Time;http://media.ign.com/games/image/object/709/709920/zeldaoot_iqueboxboxart_160h.jpg;Action;iQ N64 Wii GCN;Nintendo;Super Mario 64;Paper Mario;Mario Kart;;;;;;
458;Catan;;Board;NNG iPad PS iPhone PS3 Xbox 360;Capcom;Operation Shadow;The King of Fighters: Extreme;Mile High Pinball;;;;;;
459;Renegade;;Fighting;ZX NES C64 PS4 PS2 Arcade 3DS Wii SMS Wii U;Imagine;Street Fighter;Double Dragon II: The Revenge;Bad Dudes;Double Dragon II: The Revenge;Bad Dudes;Miami Chase;Street Fighter;Animated Strip Poker;PSI-5 Trading Company
460;Pokemon White Version;http://media.ign.com/games/image/object/069/069347/Pokemon-White-Ver_NDS_US_ESRBboxart_160h.jpg;RPG;NDS;Nintendo;Pokemon Black Version 2;Pokemon White Version 2;Pokemon Black Version;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
461;The Legend of Zelda: Ocarina of Time;http://media.ign.com/games/image/object/865/865246/Zelda-64_dl2010_Wii-VirtualConsoleboxart_160h.jpg;Action;Wii iQ N64 GCN;Nintendo;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess
462;Renegade;;Fighting;Arcade NES C64 PS4 PS2 ZX 3DS Wii SMS Wii U;Taito;Tekken 6;Tekken Tag Tournament 2;Super Street Fighter IV;Star Wars;Warriors of Fate;A.P.B.;Tekken 6;1942;Tekken Tag Tournament 2
463;Pure Chess;http://assets2.ignimgs.com/2014/03/13/pure-chess-button-mobilejpg-0a516d_160h.jpg;Board;iPhone Vita PS3 Wii U PS4 Android;Ripstone;Catan;Monopoly: Here & Now -- World Edition;Battle Chess (2011);Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
464;Pokemon Black Version;http://media.ign.com/games/image/object/059/059687/Pokemon-Black-Ver_NDS_US_ESRBboxart_160h.jpg;RPG;NDS;Nintendo;Pokemon Black Version 2;Pokemon White Version 2;Pokemon White Version;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
465;The Legend of Zelda: Ocarina of Time / Master Quest;http://media.ign.com/games/image/object/495/495087/Zelda-Ocarina-Master-Quest_CUBE_BOXboxart_160h.jpg;Action;GCN iQ N64 Wii;Nintendo;The Legend of Zelda: The Wind Waker;Resident Evil 4;Metroid Prime;The Legend of Zelda: The Wind Waker;Resident Evil 4;Metroid Prime;The Legend of Zelda: The Wind Waker;Super Smash Bros. Melee;Super Mario Sunshine
466;Monopoly: Here & Now;;Board;Mac Cell PS3 PSP PC Web Cell;;Mario's Fundamentals;Mahjongg Artifacts 2;Twilight Mahjongg;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
467;Renegade;;Fighting;3DS NES C64 PS4 PS2 ZX Arcade Wii SMS Wii U;ARC;Super Smash Bros. for Nintendo 3DS;Super Street Fighter IV 3D Edition;Pokemon Rumble Blast;Theatrhythm Final Fantasy;Scribblenauts Unlimited;Mario Golf World Tour;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default
468;Monopoly: Here & Now (2008);;Board;Cell Mac PS3 PSP PC Web Cell;EA;Kasparov Chessmate;Yahtzee Deluxe;KOF Gals Mahjong;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
469;The Legend of Zelda: Ocarina of Time (Collectors Edition);http://media.ign.com/games/image/object/142/14248881/Legend-Of-Zelda-Ocarina-of-Time-Collectors-Edition_N64boxart_160h.jpg;Action;N64;Nintendo;The Legend of Zelda: Majora's Mask;Pokemon Snap;Conker's Bad Fur Day;The Legend of Zelda: Majora's Mask;Conker's Bad Fur Day;Resident Evil 2;The Legend of Zelda: Majora's Mask;Super Mario 64;Mario Kart 64
470;Renegade;http://media.ign.com/games/image/object/142/14247615/Renegade_dl10_Wii-VirtualConsoleboxart_160h.jpg;Fighting;Wii PS4 NES C64 PS2 ZX Arcade 3DS SMS Wii U;Aksys;Super Smash Bros. Brawl;Project M;Pokemon Rumble;Mario Kart Wii;Boom Blox;NBA Jam;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess
471;Monopoly;http://pcmedia.ign.com/pc/image/object/142/14268629/monopoly_ps3_esrbboxart_160h.jpg;Board;PS3 Mac Cell PSP PC Web Cell;Electronic;Dungeon Twister;Foosball 2012;Hasbro Family Game Night 3;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
472;Renegade;http://media.gamestats.com/gg/image/object/012/012788/renegadefboxart_160h.jpg;Action;SMS NES C64 PS4 PS2 ZX Arcade 3DS Wii Wii U;SEGA;Shinobi [1988];My Hero;Space Harrier 3-D;Alex Kidd in Miracle World;Golden Axe Warrior;Ultima IV;;;
473;Quantum Conundrum;http://ps3media.ign.com/ps3/image/object/116/116552/Quantum-Conundrum_XBLA_v0boxart_160h.jpg;Puzzle;Xbox 360 PS3 PC;Square;Valiant Hearts: The Great War;Vessel;Angry Birds Trilogy;Watch Dogs;Diablo III;Borderlands 2;;;
474;Pokemon Snap;http://n64media.ign.com/n64/image/object/002/002335/601664boxart_160h.jpg;Action;N64 Wii;Nintendo;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Conker's Bad Fur Day;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64;;;
475;Renegade;;Fighting;Wii U NES C64 PS4 PS2 ZX Arcade 3DS Wii SMS;ARC;Super Smash Bros. for Wii U;Injustice: Gods Among Us;Tekken Tag Tournament 2: Wii U Edition;Mario Kart 8;Donkey Kong Country: Tropical Freeze;Scribblenauts Unlimited;Mario Kart 8;Super Mario 3D World;Batman: Arkham Origins
476;Monopoly: Here & Now;;Board;PC Mac Cell PS3 iPhone Web Cell;Encore;Hero Academy;Battle VS Chess;Monopoly (2008);Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
477;Vessel;http://media.ign.com/games/image/object/116/116771/Vessel_V2_XBLAboxart_160h.jpg;Puzzle;Xbox 360 PC PS3;Bandai;Valiant Hearts: The Great War;Quantum Conundrum;Angry Birds Trilogy;Need for Speed Most Wanted;Disney Fantasia: Music Evolved;Guacamelee! Super Turbo Championship Edition;Watch Dogs;Diablo III;Borderlands 2
478;Amplitude HD;http://assets1.ignimgs.com/2014/05/05/amplitude-hd-concept-buttonjpg-9aaf06_160h.jpg;Music;PS4 PS3;Harmonix;SingStar: Ultimate Party;SingStar PS4;Just Dance 2014;Lords of the Fallen;Deep Down;Guacamelee! Super Turbo Championship Edition;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2
479;Conker's Bad Fur Day;http://n64media.ign.com/n64/image/object/013/013960/603073boxart_160h.jpg;Action;N64;Rare;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Pokemon Snap;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Resident Evil 2;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64
480;Angry Birds Trilogy;http://media.ign.com/games/image/object/088/088826/Angry-Birds-Trilogy_US_ESRB__v2_X360boxart_160h.jpg;Puzzle;Xbox 360 3DS Wii U PS3 Vita;Activision;Valiant Hearts: The Great War;Quantum Conundrum;Vessel;Need for Speed Most Wanted;Disney Fantasia: Music Evolved;Guacamelee! Super Turbo Championship Edition;Watch Dogs;Diablo III;Borderlands 2
481;Monopoly: Here & Now -- World Edition;;Board;Web Mac Cell PS3 iPhone PC Cell;Electronic;Backgammon;Reversi;Hasbro Checkers;Offensive Combat;Battle Pirates;Outernauts;;;
482;Resident Evil 2;http://n64media.ign.com/n64/image/object/010/010798/600911boxart_160h.jpg;Action;N64 PSP PS G.com PS3 GCN;Capcom;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Pokemon Snap;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Conker's Bad Fur Day;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64
483;Advance Wars: Dual Strike;http://dsmedia.ign.com/ds/image/object/707/707311/ntr_advancewars_pkg_01boxart_160h.jpg;Strategy;NDS;Nintendo;Pokemon Conquest;Kirby: Mass Attack;Fire Emblem: Shadow Dragon;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
484;Monopoly: Here & Now -- World Edition;;Board;Cell Mac PS3 PSP iPhone PC Web;Electronic;Kasparov Chessmate;Yahtzee Deluxe;KOF Gals Mahjong;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
485;Lords of the Fallen;http://assets2.ignimgs.com/2013/09/03/lords-of-the-fallen-generaljpg-882f0e_160h.jpg;RPG;PS4 Xbox One PC;CI;Child of Light;Dragon Age: Inquisition;The Witcher 3: Wild Hunt;Amplitude HD;Deep Down;Guacamelee! Super Turbo Championship Edition;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2
486;Boom Blox;http://media.ign.com/games/image/object/142/14233670/Boom-Blox_LOGOboxart_160h.jpg;Puzzle;Cell Wii;Electronic;3D Tower Bloxx Deluxe;Pyramid Bloxx;XXX Puzzle;Tank Racer;Babo Crash;Super Air Hockey;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling
